korean,actual translation,Google translation,Microsoft translation,DeepL translation
"그래서 여러분들은 이 멋진 14개 구동장치를 볼 수 없습니다. 이 구동장치들은 탄력성이 있고, 자체적인 온도와 압력 감지능력을 가지고 있습니다.","So, you won't see all the really cool stuff that's in this series elastic set of 14 actuators, each one which has its own capability to sense temperature and pressure.",So you can't see these awesome 14 drivetrains. These actuators are flexible and have their own temperature and pressure sensing capabilities.,So you can't see these 14 wonderful drives. These drives are flexible and have their own temperature and pressure sensing capabilities.,"So you don't see these 14 cool drives, which are resilient and have their own temperature and pressure sensors."
"또한 이 장치는 압축공기로 작동하는 어깨근육으로 지지되는데, 팔에 더 무거운 부하가 걸릴 수록 몸에 더 밀착되고,","It also has a pneumatic cuff that holds it on, so the more they put themselves under load, the more it attaches.","The device is also supported by compressed air-powered shoulder muscles; the heavier the load on the arm, the closer it is to the body.","In addition, the device is supported by shoulder muscles that work with compressed air, the heavier the load on the arm, the closer it is to the body,","The device is also supported by shoulder muscles that are powered by compressed air, so that the heavier the load on the arm, the closer it fits to the body,"
부하가 사라지면 다시 이완됩니다.,"They take the load off, and it becomes, again, compliant.","When the load goes away, it relaxes again.","When the load disappears, it relaxes again.","When the load is gone, it relaxes again."
우리가 워싱턴에서 시연했던 몇가지 간단한 동작을 하는 사람을 보여드리겠습니다. 여기를 보실까요?,I'm going to show you a guy doing a couple of simple things with this that we demonstrated in Washington. Can we look at this thing?,Let me show you a person doing some of the simple movements we demonstrated in Washington. Would you like to see here?,Let me show you some simple movements that we demonstrated in Washington. Shall you take a look here?,Let me show you a person doing some simple movements that we demonstrated in Washington. Let's see here.
손가락이 움켜쥐는 것을 보세요. 엄지손가락이 위로 오고. 손목.,Watch the fingers grab. The thumb comes up. Wrist.,Look at the fingers clenching. Thumbs up. wrist.,Watch your fingers clench. Thumbs up. Wrist.,Watch your fingers clench. The thumb is up. Wrist.
무게는 3.1kg입니다.,This weighs 6.9 pounds.,It weighs 3.1kg.,It weighs 3.1 kg.,It weighs 3.1 kilograms.
코도 긁을 수 있습니다.,Going to scratch his nose.,You may also scratch your nose.,You can also scratch your nose.,You can also scratch your nose.
14개의 능동적인 자유도를 가지고 있습니다.,It's got 14 active degrees of freedom.,It has 14 active degrees of freedom.,It has 14 active degrees of freedom.,It has 14 active degrees of freedom.
이제 엄지와 검지로 펜을 듭니다.,Now he's going to pick up a pen with his opposed thumb and index finger.,Now hold the pen between your thumb and index finger.,Now hold the pen with your thumb and index finger.,Now hold the pen between your thumb and index finger.
"내려 놓고 종이 한 장을 듭니다. 팔과 손목의 모든 자유도를 회전하고, 읽습니다.","Now he's going to put that down, pick up a piece of paper, rotate all the degrees of freedom in his hand and wrist, and read it.",Put it down and pick up a piece of paper. Rotate and read all degrees of freedom of the arm and wrist.,Put it down and pick up a piece of paper. Rotate and read all degrees of freedom of the arm and wrist.,"Put it down and pick up a piece of paper. Rotate all the degrees of freedom in your arm and wrist, and read."
제 직업은 벤처투자자입니다. 주말에는 로켓 만드는 것이 취미죠.,"By day, I'm a venture capitalist. On weekends, I love rockets.",My job is a venture investor. My hobby is making rockets on the weekends.,"My job is a venture investor. On weekends, my hobby is making rockets.",I'm a venture capitalist by day. My weekend hobby is building rockets.
"사진도 좋아하고 로켓도 좋아합니다. 오늘은 저의 취미와 지난 몇 년 동안 찍어왔던 사진을 여러분과 함께 나눌까 합니다. 이런 아이들과 함께 놀았었는데, 커서도 로켓을 좋아했으면 좋겠네요. 아마 누군가는 자라서 리차드 브랜슨이나 다이아맨디스 같은 사람이 되겠지요.","I love photography, I love rockets, and I'm going to talk to you about a hobby that can scale and show you some photos that I've taken over the years with kids like these; kids that hopefully will grow up to love rocketry and eventually become maybe another Richard Branson or Diamandis.","I like photography and rockets. Today I would like to share with you my hobbies and the photos I have taken over the past few years. I played with these kids, and I hope they like rockets when they grow up. Maybe someone will grow up to be someone like Richard Branson or Diamandis.","I love photography, I love rockets. Today, I would like to share with you my hobbies and the photos I have taken over the years. I used to play with these children, and I hope they will like rockets when they grow up. Maybe someone will grow up to be like Richard Branson or Diamandice.","I love photography and I love rockets. Today I'm going to share with you some of my hobbies and some of the photos I've taken over the years. I used to play with these kids, and I hope they like rockets when they grow up. Maybe some of them will grow up to be Richard Branson or Diamandis."
제 아들이 디자인한 골프공 로켓입니다. 꽤 안정적이죠. 처음에 로켓과학 분야를 접하면서 꽤나 흥미로운 실험이라고 생각했어요. 화살처럼 곧게 쭉 날아가니까요.,"My son designed a rocket that became stable, a golf ball rocket -- I thought it was quite an interesting experiment in the principles of rocket science -- and it flies straight as an arrow.","This is a golf ball rocket designed by my son. It's pretty stable. When I first encountered the field of rocket science, I thought it was a pretty interesting experiment. Because it flies straight like an arrow.","This is a golf ball rocket designed by my son. It's pretty stable. When I first came into contact with the field of rocket science, I thought it was quite an interesting experiment. It flies straight like an arrow.","It's a golf ball rocket that my son designed. It's pretty stable. I thought it was a pretty interesting experiment when I first got into rocket science, because it flies straight up like an arrow."
이것은 베이킹소다와 식초를 이용한 로켓입니다.,Baking soda and vinegar.,This is a rocket using baking soda and vinegar.,This is a rocket with baking soda and vinegar.,This is a rocket using baking soda and vinegar.
밤에 발사하는 로켓은 멋지죠. 북두칠성과 은하수를 가로지르는 것은 장관입니다.,"Night shots are beautiful, piercing the Big Dipper and the Milky Way.",Rocket launches at night are cool. Watching the Big Dipper cross the Milky Way is spectacular.,Rockets launching at night are cool. Crossing the Big Dipper and the Milky Way is spectacular.,"Rockets launching at night are cool, and crossing the Big Dipper and Milky Way is spectacular."
비디오까지 부착한 2단 로켓도 만들었어요. 비행기록을 남길 수 있는 컴퓨터도 달려있죠. 땅에 착지할 수 있는 글라이더형 로켓입니다.,"Two stage rockets, rockets with video cameras on them, on-board computers logging their flights, rocket gliders that fly back to Earth.",We also made a two-stage rocket with a video attached. There is also a computer where you can keep flight logs. It is a glider-type rocket that can land on the ground.,I also made a two-stage rocket with a video attached to it. There is also a computer that can record flights. It is a glider-type rocket that can land on the ground.,I built a two-stage rocket with video and a computer to record the flight. It's a glider-like rocket that can land on the ground.
"""락심""이라는 프로그램을 이용해서 로켓을 쏴보기 전에 초음속을 돌파할 수 있는지 시뮬레이션을 해봅니다. 그리고 나서는 로켓에 장착한 컴퓨터로 로켓의 실제 성능을 확인하죠.","I use RockSim to simulate flights before they go to see if they'll break supersonic or not, and then fly them with on-board computers to verify their performance.","Using a program called “Raksim,” we simulate whether the rocket can exceed supersonic speed before launching it. Then, we check the actual performance of the rocket using a computer mounted on the rocket.","Using a program called ""Raksim"", we simulate whether we can break through supersonic speed before shooting a rocket. Then, the actual performance of the rocket is checked with a computer mounted on the rocket.","We use a program called ""Laxim"" to simulate whether the rocket can break supersonic speeds before we launch it, and then we use a computer on the rocket to check its actual performance."
"하지만 정말 큰 녀석을 발사하려면 허허벌판으로 나가야 합니다. 위험한 일들이 벌어졌던 ""블랙락(Black Rock Desert)"" 사막입니다.","But to launch the really big stuff, you go to the middle Black Rock Desert, where dangerous things happen.","But to launch the really big ones, you have to go out into the open. This is the “Black Rock Desert” where dangerous things happened.","But if you want to launch a really big one, you have to go out into the wilderness. The ""Black Rock Desert"" desert where dangerous things happened.","But to launch the really big ones, you have to go out into the wilderness. This is the ""Black Rock"" Desert, where dangerous things have happened."
"아이들이 자라면서, 로켓도 함께 커지게 됩니다. 모터를 사용하기 시작하고, 사실 문자그대로 크루즈 미사일에 사용되는 추진장치를 사용합니다.","And the boys get bigger, and the rockets get bigger. And they use motors that literally are used on cruise missile boosters.","As children grow, so does the rocket. It starts using motors and, in fact, literal propulsion systems that are used in cruise missiles.","As the children grow up, the rocket grows with it. It begins to use motors, and in fact, literally uses the propulsion system used in cruise missiles.","As kids grow up, their rockets grow up with them. They start using motors, and in fact, they literally use the propulsion used in cruise missiles."
이런 로켓은 발사될 때 보면 정말 천둥이 치는 것 같고 사진찍는 사람조차 깜짝 놀라게 만들죠.,They rumble the belly and leave even photographers in awe watching the spectacle.,"When a rocket like this is launched, it really looks like thunder and even the people taking pictures are surprised.","When these rockets are launched, they really look like thunder, and even the photographer is surprised.","These rockets really do look like thunder when they launch, and they scare the crap out of the photographer."
이 로켓들은 아산화질소를 이용한 실험용 모터를 사용한 것입니다.,These rockets use experimental motors like nitrous oxide.,These rockets used experimental motors powered by nitrous oxide.,These rockets used experimental motors using nitrous oxide.,These rockets used experimental motors powered by nitrous oxide.
고체연료도 자주 사용됩니다.,They use solid propellant most frequently.,Solid fuels are also frequently used.,Solid fuels are also often used.,Solid fuels are also frequently used.
좀 이상한 취미일 수도 있는데요.,It's a strange kind of love.,It might be a bit of a strange hobby.,It may be a bit of a strange hobby.,This might be a weird hobby of mine.
"Rocketmavericks.com이라는 사이트에 제 사진을 올려놓았습니다. 이 주제에 대해서 더 알고 싶으면, 한 번 들러서 구경하세요.","We have a RocketMavericks.com website with my photos if you want to learn more about this, participate, be a spectator.","I posted my photo on a site called Rocketmavericks.com. If you want to know more about this topic, stop by and take a look.","I posted my photo on a site called Rocketmavericks.com. If you want to know more about this topic, stop by and take a look.","I've posted my photos on a site called Rocketmavericks.com, so if you're interested in learning more about this topic, stop by and take a look."
"우리는 스스로를 ""로켓에 미친 사람들(Rocket Mavericks)""이라고 부릅니다.",we had to call it Rocket Mavericks.,We call ourselves the “Rocket Mavericks.”,"We call ourselves ""Rocket Mavericks"".","We call ourselves ""Rocket Mavericks""."
이것도 대단했습니다. 3만 미터 상공까지 올라갔죠. 그리고 떨어져서는 땅에 3미터 넘게 들어가 박혔습니다. 벙커를 깨는 미사일 같이 되어버렸습니다. 땅을 파고 들어가더라고요. 땅을 헤집고 꺼내야 했죠.,"This one it went to 100,000 feet, but didn't quite. Actually, it went 11 feet into the solid clay; and it became a bunker-buster, drilling down into the clay. It had to be dug out.","This was also great. It went up to 30,000 meters in the air. It fell and fell more than 3 meters into the ground. It became like a missile breaking through a bunker. It was digging into the ground. I had to dig up the ground and pull it out.","This was also great. It went up to 30,000 meters in the air. And when it fell off, it went more than 3 meters into the ground and got stuck. It has become like a missile that breaks through a bunker. They dug into the ground. I had to dig through the ground and pull it out.","It went up to 30,000 meters in the air, and when it came down, it went over three meters into the ground and got stuck. It was like a bunker-busting missile. It was digging into the ground, and we had to dig it out."
로켓에 연료를 너무 많이 넣으면 종종 통제불능 상태에 빠지기도 합니다.,Rockets often spiral out of control if you put too much propellant in them.,Putting too much fuel into a rocket often causes it to spin out of control.,Putting too much fuel into a rocket often gets out of control.,"When you put too much fuel in a rocket, it often spirals out of control."
무슨 자동차 경주 같았지요.,Here was a drag race.,It was like a car race.,It was like a car race.,It was like a car race.
"밤이라면 무슨 일이 벌어지는지 단번에 알 수 있어요. 낮에 보면 ""육지의 상어""라고 불릴만하죠.","At night you can see what happened in a second; in daytime, we call them land sharks.","At night, you can tell right away what's going on. When seen during the day, it can be called a “shark on land.”","If it's night, you can see what's going on at once. During the day, it is worthy of being called a ""shark on land"".","At night, it's obvious what's going on; during the day, it's been called a ""shark on land."""
"눈 앞에서 폭발해 버릴 때도 있고, 초음속으로 추락할 때도 있죠.",Sometimes they just explode before your eyes or come down supersonic.,"Sometimes it explodes before your eyes, and sometimes it falls at supersonic speeds.","Sometimes it explodes in front of your eyes, and sometimes it crashes at supersonic speed.","Sometimes it explodes in front of you, sometimes it crashes at supersonic speeds."
이런 사진을 찍기 위해서 제가 하는 것들이 있습니다. 다른 구경꾼들이 전혀 없는 아주 뒤쪽으로 숨는 것이죠.,"To take this shot, I do what I often do, which is go way beyond the pads where none of the other spectators are.",There are things I do to take pictures like this. Hide in the back where there are no other onlookers.,"There are things I do to take pictures like this. It hides in the very back, where there are no other onlookers.",Here's what I do to get these shots. I get very far back where there are no other onlookers.
비디오를 보면 영화와 같은 장면이 어떻게 찍혔는지 보여드릴 수 있을 것 같습니다.,"And if we can run the video, I'll show you what it took to get this DreamWorks shot.","If you watch the video, I think I can show you how the cinematic scene was filmed.","If you watch the video, I think you can show how the movie-like scene was filmed.","If you watch the video, I think I can show you how the movie-like scene was captured."
와! 좋아.,Woohoo! Yeah. Nice.,and! good.,And! You like.,"Wow, good."
스티브 저버슨: 이런 경우는 흔치 않죠. 컴퓨터가 고장난 겁니다.,This is rare. Here's where they realized the computer's failed.,Steve Jerberson: This is not a common occurrence. The computer is broken.,Steve Gerberson: It's not very common. The computer is broken.,Steve Jerverson: It's not often that this happens. The computer is broken.
계속 소리지르고 있죠. 젠장.,They're yelling deploy. Oh shit.,They keep screaming. shit.,They keep screaming. Oh no.,"It's screaming at me, damn it."
이건 컴퓨터 프로그램이 완전 엉켜 버렸을 때입니다.,This is when they realize everything on board's gone haywire.,This is when a computer program gets completely messed up.,This is when a computer program is completely tangled.,This is when a computer program gets completely tangled up.
"박살나겠는데. 아, 젠장.",It's going ballistic. Oh shit.,"I'm going to be destroyed. Oh, shit.","I'm going to smash it. Oh, damn it.","Oh, crap."
제가 더 말할 필요도 없네요.,And I'll just be quiet.,I don't need to say more.,I don't need to say more.,I don't need to say more.
안돼!,No.,no!,No!,No!
"더 위로, 위로, 위로!","Up, up, up.","Up, up, up!","More up, up, up!","Up, up, up!"
저기서 이 모든 것을 사진으로 담고 있는게 접니다.,"And that's me over there, taking photos the whole way.",I'm the one over there taking pictures of all of this.,It's a fold that captures all of this in a picture over there.,That's me over there taking pictures of all this.
때때로 일이 잘 안 되기도 하죠.,Things often go wrong.,Sometimes things don't go well.,Sometimes things don't go well.,Sometimes things don't work out.
"어떤 사람들은 로켓이 경주용 자동차 경기처럼 부딪히고, 터지고, 그리고 낙하산이 불타는 그런 박진감 넘치는 모습을 보는 것을 좋아합니다. 이건 지난주 였죠.",Some people watch this event because of a NASCAR-like fascination with things bumping and grinding. Burning the parachute as it fell -- that was last weekend.,"Some people like to see the excitement of rockets crashing, exploding, and burning parachutes like a race car race. This was last week.","Some people love to see rockets crashing, exploding, and parachutes burning like a race car race. This was last week.","Some people like to watch rockets crash, explode, and parachutes burn like a race car event. That was last week."
이 로켓은 초음속으로 하늘을 뚫고 올라갔죠. 로켓 날개도 다 떨어졌어요. 불에 탄 고철덩어리만 떨어져 내렸죠.,"This guy went up, went supersonic, ripped the fin can off -- yard sale in the sky -- and a burning metal hunk coming back.",This rocket soared through the sky at supersonic speeds. The rocket wings are all gone. Only chunks of burnt scrap metal fell down.,This rocket went up through the sky at supersonic speed. The rocket wings also ran out. Only a burnt piece of scrap metal fell off.,"The rocket soared through the sky at supersonic speeds. The rocket ran out of wings, and all that came down was a charred hunk of scrap metal."
매 주말마다 계속 로켓 발사를 하다보면 여러분께서는 상상하기조차 힘든,These things would drop down from above all through the weekend of rocket launch after rocket launch after rocket launch.,"If you keep launching rockets every weekend, you'll have a hard time even imagining it.","If you keep launching rockets every weekend, it's hard for you to imagine.","If you keep launching rockets every weekend, you're bound to run out of"
리듬감 같은 그 무엇인가를 느끼게 됩니다.,It's a cadence you can't quite imagine.,You feel something like a sense of rhythm.,You will feel something like a sense of rhythm.,"There's something about it, a sense of rhythm."
"사고나 잘 안 된 실험도 사진으로 담으려고 노력하고 있습니다. 다만 이런 모든 일들이 단 수 초 만에 벌어지는데, 그것을 사진에 담는 것은 쉬운 일은 아니죠.","And in many ways, I try to capture the mishaps; it's the challenge in photography when these things all take place in a fraction of a second.","I try to take pictures of accidents and experiments that don't go well. However, all of this happens in just a few seconds, and capturing it in a photo is not easy.","I am trying to capture accidents and experiments that didn't go well in photos. It's just that all of this happens in a matter of seconds, and it's not easy to capture it in a photo.","I also try to capture accidents and experiments that don't go well. But all of these things happen in a matter of seconds, and it's not easy to capture them."
"이런 것을 왜 하냐고요? 그것은 아마도 제 몸 속에 앨러바마의 피가 흐르고 있기 때문이 아닐까요. 이것은 엑스레이센서, 비디오 카메라, 복잡하게 얽힌 전선으로 만든 로켓입니다. 3만 미터까지 날아올랐던 녀석이죠. 대기권도 돌파해서 우주와의 경계선인 희미한 푸른 띠도 봤죠.","Why do they do it? It's for things Gene from Alabama drives out there with this rocket that he's built with X-ray sensors, video cameras, festooned with electronics, and he succeeds getting to 100,000 feet, leaving the atmosphere, seeing a thin blue line of space.","Why do you do this? Maybe it's because I have Alabama blood flowing through my body. It's a rocket made out of an X-ray sensor, a video camera, and a tangle of wires. This guy flew up to 30,000 meters. We even broke through the atmosphere and saw a faint blue band that marks the border with space.","Why do you do this? Maybe it's because I have Alabama blood flowing in my body. This is a rocket made of X-ray sensors, video cameras, intricately intertwined wires. It flew up to 30,000 meters. It also broke through the atmosphere and saw a faint blue band, which is the boundary with space.","Why am I doing this? Maybe it's because I have Alabama blood running through my veins. This is a rocket made of x-ray sensors, video cameras, and a tangle of wires. It flew up to 30,000 meters. It broke through the atmosphere and saw the faint blue band that is the boundary with space."
사실 이런 숨막히게 멋진 사진을 보는 것이 이런 취미를 지속하게하는 원동력이죠. 물론 성공하는 사진이요. 아이들이 로켓과학을 이해하고 빠져들게 만드는 원동력이 되기도 하고요. 이어서 아이들은 물리학과 수학의 중요성도 깨닫게 되죠. 결국 아이들 이전 세대에 살았던 무명의 탐험가들의 탐험정신이 위대했음을 깨닫게 되는 계기가 되는 것입니다.,"It is this breathtaking image -- success, of course -- that motivates us and motivates kids to follow and understand to understand the importance of physics and math and, in many ways, to sort of have that awe at exploration of the frontiers of the unknown.","In fact, looking at these breathtaking photos is what motivates me to continue this hobby. Of course, it's a successful photo. It also serves as a driving force for children to understand and fall in love with rocket science. Subsequently, children also realize the importance of physics and mathematics. In the end, it becomes an opportunity to realize the great spirit of exploration of the unknown explorers who lived in the generation before our children.","In fact, seeing these breathtaking photos is what keeps me going. Of course, successful photos. It is also a driving force for children to understand and immerse themselves in rocket science. Next, children also realize the importance of physics and mathematics. In the end, it is an opportunity to realize the great spirit of exploration of the unknown explorers who lived in the generation before the children.","In fact, seeing breathtaking photos like this is what keeps me in this hobby - successful photos, of course. It's also what gets kids to understand and fall in love with rocket science, and then they realize the importance of physics and math, which in turn makes them realize the greatness of the unknown explorers who came before them."
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
감사합니다.,Thank you.,thank you,I appreciate it.,Thank you.
"우리가 무엇인가 조치를 취하지 않는다면, 앞으로 40년 동안 전 지구적으로 신경학적 질병이 창궐하는 것을 보게 될 것입니다.","Unless we do something to prevent it, over the next 40 years we’re facing an epidemic of neurologic diseases on a global scale.","If we don't do something, over the next 40 years we will see a global epidemic of neurological diseases.","If we don't do something, we're going to see a global epidemic of neurological disease over the next 40 years.","If we don't do something, we're going to see a global epidemic of neurological disease over the next 40 years."
생각만해도 기분이 유쾌하네요.,A cheery thought.,Just thinking about it makes me feel happy.,Just thinking about it makes me feel happy.,It makes me feel good just thinking about it.
이 지도에서 푸르게 표시된 국가들의 전체 인구 20% 이상이 65세 이상입니다.,"On this map, every country that’s colored blue has more than 20 percent of its population over the age of 65.","In the countries shown in blue on this map, more than 20% of the total population is over 65 years of age.",More than 20% of the total population of the countries shown in blue on this map are over 65 years old.,The countries colored blue on this map have more than 20% of their population aged 65 or older.
우린 지금 이런 세상에서 살고 있죠.,This is the world we live in.,We live in a world like this now.,We are living in this world now.,That's the world we live in now.
여러분의 자녀들은 아마 이런 세상에서 살게 될겁니다.,And this is the world your children will live in.,Your children will probably live in a world like this.,Your children will probably live in this world.,Your children will probably live in this world.
"지난 12,000년 동안, 인류의 나이 분포를 나이 많은 사람 인구가 위로 가도록 그리면 피라미드 모양이었습니다.","For 12,000 years, the distribution of ages in the human population has looked like a pyramid, with the oldest on top.","For the past 12,000 years, the human age distribution has been shaped like a pyramid, with older people at the top.","Over the past 12,000 years, the age distribution of humanity has been shaped like a pyramid when the population of older people is drawn upwards.","For the past 12,000 years, the age distribution of the human population has been a pyramid with the older population at the top."
이제는 평평해지고 있습니다.,It’s already flattening out.,Now it's flattening out.,Now it's flattening.,Now it's flattening out.
"2050년이 되면 완전 수직이 되거나, 아예 역전되기 시작할겁니다.","By 2050, it’s going to be a column and will start to invert.","By 2050, it will become completely vertical or begin to completely reverse.","By 2050, it will become completely vertical or start to reverse altogether.","By 2050, it will be completely vertical, or it will start to reverse."
이런 일이 왜 벌어지고 있을까요?,This is why it’s happening.,Why is this happening?,Why is this happening?,Why is this happening?
평균 수명은 1840년에 비해서 두 배로 늘어났습니다. 매일 5시간 정도의 속도로 수명이 늘어나고 있죠.,"The average lifespan’s more than doubled since 1840, and it’s increasing currently at the rate of about five hours every day.",Life expectancy has doubled since 1840. Life expectancy is increasing at a rate of about 5 hours every day.,Life expectancy doubled compared to 1840. Their lifespan is increasing at a rate of about 5 hours every day.,Average life expectancy has doubled since 1840. Life expectancy is increasing at a rate of about five hours per day.
하지만 수명이 늘어나는게 기쁜 것만은 아닙니다. 65세가 넘어가면서 알츠하이머 병이나 파킨슨 병에 걸릴 확률이 기하급수적으로 증가하기 때문이죠.,"And this is why that’s not entirely a because over the age of 65, your risk of getting Alzheimer’s or Parkinson’s disease will increase exponentially.","However, increasing lifespan is not always a joy. This is because the probability of developing Alzheimer's disease or Parkinson's disease increases exponentially after the age of 65.","However, it is not only happy that life expectancy is extended. This is because as you turn 65, the chance of developing Alzheimer's disease or Parkinson's disease increases exponentially.","But living longer isn't all sunshine and roses, as the chances of developing Alzheimer's or Parkinson's disease increase exponentially after age 65."
"2050년, 80세가 넘은 미국의 인구만 약 3200만명 정도일 것입니다. 우리가 뭔가 조치를 취하지 않는다면, 그 중의 절반은 알츠하이머 병에 걸려있을 것이고, 300만명은 파킨슨 병에 걸려있을 것입니다.","By 2050, there’ll be about 32 million people in the United States over the age of 80, and unless we do something about it, half of them will have Alzheimer’s disease and three million more will have Parkinson’s disease.","In 2050, there will be approximately 32 million people in the United States over the age of 80. If we don't do something, half of these people will have Alzheimer's disease and 3 million will have Parkinson's disease.","In 2050, there will be about 32 million people in the United States over the age of 80. If we don't do something, half of them will have Alzheimer's disease, and 3 million people will have Parkinson's disease.","In 2050, there will be about 32 million people in the U.S. over the age of 80, and if we don't do something, half of them will have Alzheimer's disease and 3 million will have Parkinson's disease."
오늘날 이렇게 치료가 불가능한 신경학적 질병에 매년 들어가는 돈만 약 3천억달러입니다.,"Right now, those and other neurologic diseases -- for which we have no cure or prevention -- cost about a third of a trillion dollars a year.","Today, approximately $300 billion is spent each year on these incurable neurological diseases.","Today, about $300 billion is spent each year on such incurable neurological diseases.","Today, the cost of these incurable neurological diseases alone is approximately $300 billion annually."
하지만 2050년에는 1조달러에 육박할 겁니다.,It will be well over a trillion dollars by 2050.,"But by 2050, it will approach $1 trillion.","But by 2050, it will be close to $1 trillion.","But by 2050, it will be close to $1 trillion."
알츠하이머 병은 일정한 모양으로 접혀야 하는 특정 단백질들이 제대로 접히지 않으면서 이상한 물질로 변하여 생기는 질병입니다.,Alzheimer’s disease starts when a protein that should be folded up properly misfolds into a kind of demented origami.,Alzheimer's disease is a disease that occurs when certain proteins that are supposed to fold into a certain shape do not fold properly and turn into strange substances.,Alzheimer's disease is a disease caused by certain proteins that should be folded into a certain shape and turn into strange substances without folding properly.,Alzheimer's disease is caused by certain proteins that are supposed to fold into a certain shape not folding properly and turning into strange substances.
한가지 가능한 해결책은 분자 수준에서 그 단백질을 제대로 된 모양으로 만들어서 고정시켜주는 스카치 테이프 같은 역할을 하는 약을 개발하는 것이겠지요.,"So one approach we’re taking is to try to design drugs that function like molecular Scotch tape, to hold the protein into its proper shape.","One possible solution would be to develop a drug that acts like scotch tape at the molecular level, shaping the protein into the right shape and holding it in place.",One possible solution would be to develop a drug that acts like a scotch tape that shapes the protein into its shape and holds it in place at the molecular level.,"One possible solution would be to develop a drug that acts like Scotch tape, molding the protein into the right shape at the molecular level and holding it in place."
단백질의 구조가 뒤엉키면서 뇌의 각 부분을 파괴하는 과정이 멈출테니까요.,That would keep it from forming the tangles that seem to kill large sections of the brain when they do.,"As the protein structure becomes entangled, the process of destroying each part of the brain will stop.",The structure of the protein will become entangled and the process of destroying each part of the brain will stop.,"The protein's structure would tangle, and the process of destroying each part of the brain would stop."
